食品分类,样品名称,热量(kcal),修正热量(kcal),水分(g),粗蛋白(g),粗脂肪(g),饱和脂肪(g),灰分(g),总碳水化合物(g),膳食纤维(g),糖质总量(g),葡萄糖(g),果糖(g),半乳糖(g),麦芽糖(g),蔗糖(g),乳糖(g),钠(mg),钾(mg),钙(mg),镁(mg),铁(mg),锌(mg),磷(mg),铜(mg),锰(mg),维生素A总量(IU),视网醇当量(RE)(ug),视网醇(ug),α-胡萝卜素(ug),β-胡萝卜素(ug),维生素D总量(IU),维生素D总量(ug),维生素D2(ug),维生素D3(ug),维生素E总量(mg),α-维生素E当量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),维生素K1(ug),维生素K2 (MK-4)(ug),维生素K2 (MK-7)(ug),维生素B1(mg),维生素B2(mg),烟碱素(mg),维生素B6(mg),维生素B12(ug),叶酸(ug),维生素C(mg),脂肪酸S总量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕榈酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M总量(mg),肉豆蔻烯酸(14:1)(mg),棕榈烯酸(16:1)(mg),油酸(18:1)(mg),鳕烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P总量(mg),亚麻油酸(18:2)(mg),次亚麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),反式脂肪(mg),水解胺基酸总量(mg),天门冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),丝胺酸(Ser)(mg),麸胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),缬胺酸(Val)(mg),甲硫胺酸(Met)(mg),异白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),离胺酸(Lys)(mg),组胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),胆固醇(mg),酒精含量(g)
谷物类,大麦仁,-0.11942328343250763,-0.13937526951919782,0.04176305783470079,-0.06313333333333332,-0.00911274121265597,-0.020318578122041554,-0.014558185241577662,-0.10286777769436739,0.07961000801353399,-0.020779794649772608,-0.07500000000000001,-0.024333018135152477,-0.025,-0.5239410518884575,-0.021526880651893076,-0.025,-0.024634111406411172,-0.06541909522619346,-0.016579415901693914,0.035531417039453166,0.0002403846153846076,-0.00446213540272946,0.06657599332876157,0.05022063350892796,-0.0676151804248808,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.024777177428789685,-0.02489855064858332,-0.024913046433161678,-0.024900326359975623,-0.02116069951253039,-0.024477186311787073,-0.9750000000000001,-0.025,-0.025,-0.0009369121690059323,-0.0238125,-0.07718215773595748,2.7397260273967494e-05,-0.17500000000000002,0.01363470216430649,-0.024942283717852034,-0.020319053601239354,-0.025,-0.07500000000000001,-0.02499721311510374,-0.024995805248554565,-0.02499233657528748,-0.9750000000000001,-0.024808021987523275,-0.17470431469114778,-0.013015670164347671,-0.02474099255553956,-0.023199074280248783,-0.6250000000000001,-0.024506489565002763,-0.023934573886863965,-0.0718882571095686,-0.022934843212205788,-0.025,-0.02496681293267769,-0.023043894964533233,-0.02465498223837341,-0.02426239102751386,-0.0130340189284246,-0.012812233572953942,-0.02397191370050507,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.019024736932611756,-0.025,-0.11178452633770561,-0.16045800166991372,-0.14151188449848023,-0.04546494252873562,-0.07807254205669145,0.1016008673819559,-0.132336917469409,-0.1732957926369077,0.04382493017023926,-0.17269962092494312,-0.20541613166544023,-0.09243756182717487,-0.12431738087075761,-0.13864064265536724,-0.034062800000000004,-0.07980327843137255,-0.15794439655172415,-0.16027121263586958,-0.1031708228046554,-0.9750000000000001,-0.025
谷物类,大麦片,-0.11943140516684725,-0.1335802451829215,0.04597258355013009,-0.06211111111111112,-0.007153628346817813,-0.02043378537989844,-0.016774152483100987,-0.10762417736406182,0.04918331206284194,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024791546640373016,-0.06554217214927038,-0.02087918479114967,0.036366878410290376,0.006932749203459265,-0.011185442868611192,0.04678777044907408,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.02494408467472765,-0.024971911627528053,-0.024976879771369975,-0.024843369994247407,-0.024236340032328274,-0.024762357414448672,-0.9750000000000001,-0.025,-0.025,-0.0034401678483576906,-0.02371323529411765,-0.07867044964803907,1.3698630136987217e-05,-0.17500000000000002,-0.003411491009983711,-0.02122150739537962,-0.020433961483501115,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.024746862728242083,-0.17500000000000002,-0.013530732399901062,-0.025,-0.023030595474669666,-0.6250000000000001,-0.02241093326848322,-0.02268571625060175,-0.07500000000000001,-0.021149572581439846,-0.025,-0.025,-0.02172901793634904,-0.02281942208019729,-0.021265094304436516,-0.012010046960284711,-0.011818823526262541,-0.02381619657520188,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.09964621278367691,-0.1589736988588923,-0.1375790273556231,-0.04614583333333333,-0.06830937336222662,0.1446684483490876,-0.13177557927623015,-0.17067634672437823,0.0824730190305305,-0.16704700530705083,-0.19358287525008197,-0.0787401803898749,-0.11291309564621191,-0.12740289548022599,-0.017143333333333316,-0.07612156862745097,-0.16736637931034484,-0.15330417798913043,-0.14130823050580693,-0.9750000000000001,-0.025
谷物类,大麦仁粉,-0.09247169742467604,-0.10946525833568094,-0.0176355813488093,-0.08195424836601309,-0.011897373392954172,-0.021315371353064164,-0.01615021983562394,-0.024659434977354233,0.06409862582732317,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024714809112716316,-0.06318483840578318,-0.016789019467232116,0.03039254563400543,-0.008713586709148843,-0.00270604763179021,0.0671426993736483,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.024975268221514153,-0.024982493158352093,-0.024984514823615238,-0.024903174178262034,-0.024834540340337795,-0.025,-0.9750000000000001,-0.025,-0.025,-0.011977282592967731,-0.02386029411764706,-0.08401450940956759,0.006369863013698629,-0.17500000000000002,0.00981673148415154,-0.025,-0.0213149240112811,-0.025,-0.07474976174201739,-0.02496823329010829,-0.02491912814453798,-0.024773046596166744,-0.9750000000000001,-0.02453028806318695,-0.17396359840615136,-0.016391614643458518,-0.0241015543783969,-0.023349287534333768,-0.6250000000000001,-0.023384676625029063,-0.023378200337742322,-0.07500000000000001,-0.02223709254356238,-0.025,-0.024858400129162402,-0.022565354670148693,-0.0238718852533824,-0.02302914406258131,-0.015818047278555444,-0.01564500516298161,-0.02421501784492788,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.109351613574849,-0.15607765098803228,-0.1422437689969605,-0.04650143678160923,-0.06883172162091812,0.08378514200697848,-0.13260791460557148,-0.17329115173933862,0.020368130193503878,-0.16606671721000762,-0.19041795434058334,-0.08214052953156824,-0.1152680836475831,-0.13624081920903955,-0.03105700000000003,-0.08279090196078431,-0.17216551724137932,-0.16614351222826088,-0.06823766838199581,-0.9750000000000001,-0.025
谷物类,麦茶,-0.5053311620488488,-0.5053311620488488,0.8803732239343607,-0.17500000000000002,-0.025,-0.025,-0.02419492561615865,-0.830558891975077,-0.025,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024478939131677015,-0.07465970045950052,-0.024824300022678315,-0.02374341627972043,-0.02428880291306327,-0.025,-0.02174134292705702,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.025,-0.025,-0.024632352941176473,-0.12385073983623043,-0.023328767123287672,-0.17500000000000002,-0.024220631444403746,-0.025,-0.025,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.17500000000000002,-0.025,-0.025,-0.025,-0.6250000000000001,-0.025,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.225,-0.225,-0.225,-0.17500000000000002,-0.17500000000000002,-0.07500000000000001,-0.17500000000000002,-0.225,-0.025,-0.275,-0.225,-0.17500000000000002,-0.225,-0.225,-0.17500000000000002,-0.125,-0.225,-0.225,-0.17500000000000002,-0.9750000000000001,-0.025
谷物类,小米,-0.11322517630838924,-0.11846747768303173,0.04767360416249748,-0.027111111111111114,0.01144049630859268,-0.020576041298295634,-0.014123445074303331,-0.15742924705352457,0.0024859268492960877,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.02497098770220919,-0.0672357872070444,-0.023439849275449086,0.0948202618231184,0.01610719162494311,0.013174003211131928,0.06635917585559767,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.024689239826851745,-0.024959910623056882,-0.02498386960793254,-0.024829130902815355,-0.018922539423945832,-0.006701520912547533,-0.9750000000000001,-0.025,-0.025,0.040837071335552026,-0.02095588235294118,-0.06545395776468899,0.0195068493150685,-0.17500000000000002,0.01018849028517095,-0.024942283717852034,-0.020576032848300667,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.17500000000000002,-0.0155898782062817,-0.025,-0.021495072091023328,-0.6250000000000001,-0.014122557523261811,-0.01933885412129687,-0.06627619832947704,-0.014661302532110792,-0.025,-0.025,-0.014876387753371361,-0.02176514301523875,-0.025,0.00520827261459858,0.007188811475599022,-0.02434710363621102,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.08247324449996529,-0.13362371277483998,-0.13041945288753798,0.051713362068965485,-0.0766690468766362,0.13981438845909328,-0.14425670398333768,-0.045911657269390005,0.05597971040391956,-0.1583042709123073,-0.15652624873942722,-0.05766656968286302,-0.0927074048680151,-0.0954696327683616,0.006916666666666682,-0.10199058823529412,-0.16330316091954022,-0.16879330842391305,-0.05167613479167052,-0.9750000000000001,-0.025
谷物类,糯小米,-0.12434705706174792,-0.1277183556091368,0.05371723033820289,-0.012058823529411816,-0.00988143129894667,-0.02243037724867036,-0.01857550641694601,-0.14916660410880078,-0.007324468979708943,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024965011168864282,-0.06952169649895219,-0.022202465916644678,0.02819074407103768,0.006797621756941291,0.009026291142627776,0.03483333692934853,-0.025,-0.07500000000000001,-0.024508583790680404,-0.07483615683721888,-0.32500000000000007,-0.07500000000000001,-0.07224141826923078,-0.025,-0.025,-0.025,-0.025,-0.024874405577080566,-0.024985396627175763,-0.024993870451014366,-0.024943043634271786,-0.02288402550624292,-0.014876425855513312,-0.9750000000000001,-0.025,-0.025,-0.0006909275068731,-0.02280514705882353,-0.09383781065938802,0.0014657534246575385,-0.17500000000000002,-0.002803973220896431,-0.024807612392840104,-0.022430203854775514,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.024977264675072594,-0.17500000000000002,-0.019319180524840232,-0.024661492720805037,-0.02300475609809165,-0.6250000000000001,-0.02004317681634435,-0.022272382611619256,-0.07282265872429808,-0.0207310740172875,-0.025,-0.02485175698019126,-0.02081501732771152,-0.02408615971678407,-0.025,-0.013379103323607542,-0.012672772663993201,-0.024672854573307906,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.02484647669602886,-0.025,-0.07180365049621762,-0.12984734205399387,-0.13579452887537996,0.08323150143678157,-0.05702315464359621,-0.006949934985597428,-0.16045124967456392,0.0010143079196592852,0.04431312614803649,-0.14713886782916352,-0.18573413747848785,-0.03555455338958391,0.05187821391840927,-0.0842418785310734,0.037771333333333296,-0.10501866666666668,-0.15802643678160921,-0.17902097486413043,-0.03722148956969221,-0.9750000000000001,-0.025
谷物类,小麦,-0.12273984371558,-0.1493273980143806,0.05137582549529718,0.009549019607843073,0.0005731526762079893,-0.020324588935494957,-0.009711637450852722,-0.18268160548507384,0.11440086467020841,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024960253152026587,-0.06099004095130065,-0.018858635051950255,0.1276638018040539,0.02321916249431042,0.02514048702167515,0.1089080062201424,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.024248368992973595,-0.02464455089445336,-0.02472685869432434,-0.021838921702084034,-0.014817867097710291,-0.02167300380228137,-0.9750000000000001,-0.025,-0.025,0.03447040949211402,-0.02150735294117647,-0.047568596466025,0.011369863013698626,-0.17500000000000002,0.032127715125205555,-0.023031874778754253,-0.020324390593555928,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.17500000000000002,-0.012501582770590722,-0.025,-0.023523261186747708,-0.6250000000000001,-0.025,-0.025,-0.07500000000000001,-0.019269289973750672,-0.025,-0.025,-0.019514771151491653,-0.021602751456574643,-0.025,-0.00424248118701449,-0.00411184150450665,-0.022869130425830476,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.016388305919911195,-0.12603673810186475,-0.0953905775075988,0.07277837643678159,0.03689575974691317,0.2562778142602616,-0.09608956001041397,-0.14358470149211347,0.1505975034088861,-0.12633560778367453,-0.17032861517193015,-0.03151294733779461,-0.049497771683236214,-0.06370762711864411,0.06194166666666667,-0.06274117647058824,-0.1223635057471264,-0.11132387907608701,-0.17500000000000002,-0.9750000000000001,-0.025
谷物类,小麦胚芽,-0.06114650184663761,-0.08468573560884302,-0.032674604762857724,0.2349607843137255,0.09050291374419869,-0.00762173650397064,0.024387288076747747,-0.3954023721942798,0.0984183163664065,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.02490962669238162,-0.03708159498586893,-0.010364842629760132,0.34534747097514007,0.06041477014110149,0.224966550709125,0.6271456977830232,-0.025,-0.07500000000000001,-0.024850806846683383,-0.07495025779818086,-0.32500000000000007,-0.07500000000000001,-0.0741625,-0.025,-0.025,-0.025,-0.025,-0.020885922413615126,-0.021664452001014797,-0.022161050996126988,0.007579041196539328,-0.023663595056574477,-0.025,-0.9750000000000001,-0.025,-0.025,0.3276262480104182,-0.005900735294117651,-0.06724249389455536,0.16702739726027402,-0.17500000000000002,0.2316421685150691,-0.025,-0.007621353338927401,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.024510856848148552,-0.17500000000000002,0.022347571086869,-0.025,-0.02212053276517904,-0.6250000000000001,-0.025,-0.025,-0.07129289125190766,-0.0016119900595070007,-0.025,-0.025,-0.0034383381370322805,-0.0006597298675504702,-0.025,0.07611220712836969,0.0727289938401639,-0.00912410192199399,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,0.175958344090499,0.1617784581129975,0.1502948328267477,0.2943929597701149,0.025268894671784392,0.169208223994893,0.06477154386878417,0.09196924723830088,0.4066364631909254,0.09719737174627235,-0.10879226411139341,0.11338667442537101,0.11690006856359267,0.06899717514124301,0.18515999999999996,0.1880533333333333,-0.0012155172413793047,0.21989809782608702,0.07178606341184499,-0.9750000000000001,-0.025
谷物类,去筋面粉,-0.1301856939988617,-0.1312432995691698,0.06151190714428659,-0.17263398692810458,-0.023838490336538704,-0.025,-0.021828006927665074,-0.01676313089607906,-0.019454832358848033,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.024170074209396028,-0.07465289446869053,-0.02285753399875904,-0.02236306462309828,-0.025,-0.025,-0.0037096807917402323,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.02499161270120915,-0.024995677057529204,-0.02499612870590381,-0.025,-0.024866359505657448,-0.025,-0.9750000000000001,-0.025,-0.025,-0.02355303139921864,-0.025,-0.12360652205142938,-0.021849315068493153,-0.17500000000000002,-0.011587846526744031,-0.025,-0.025,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.17500000000000002,-0.025,-0.025,-0.025,-0.6250000000000001,-0.025,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.225,-0.225,-0.225,-0.17500000000000002,-0.17500000000000002,-0.07500000000000001,-0.17500000000000002,-0.225,-0.025,-0.275,-0.225,-0.17500000000000002,-0.225,-0.225,-0.17500000000000002,-0.125,-0.225,-0.225,-0.17500000000000002,-0.9750000000000001,-0.025
谷物类,低筋面粉,-0.1205528720455245,-0.1252238706005233,0.045522313388032795,-0.06930718954248372,-0.013285202965089902,-0.022537570088589372,-0.01996124070013294,-0.0923380376848586,-0.0005092551370710109,-0.025,-0.07500000000000001,-0.025,-0.025,-0.525,-0.025,-0.025,-0.02495851241415914,-0.06932699517428337,-0.020971915334736115,0.004401835012559169,-0.008073509330905781,-0.014981937382927482,0.01662016870723846,-0.025,-0.07500000000000001,-0.025,-0.07500000000000001,-0.32500000000000007,-0.07500000000000001,-0.07500000000000001,-0.025,-0.025,-0.025,-0.025,-0.02478386576192803,-0.024894915935759612,-0.024923649477547355,-0.023690003588251043,-0.02235900927846861,-0.024762357414448672,-0.9750000000000001,-0.025,-0.025,-0.00047388221675589287,-0.02371323529411765,-0.11242996695877029,-0.014780821917808221,-0.17500000000000002,0.006174742223850237,-0.02303379865482585,-0.022537704838545513,-0.025,-0.07500000000000001,-0.025,-0.025,-0.025,-0.9750000000000001,-0.024949252456873232,-0.17500000000000002,-0.018551639074682214,-0.025,-0.024265590518250207,-0.6250000000000001,-0.024178381873802817,-0.025,-0.07276140894993355,-0.022761610367591292,-0.025,-0.024892002642950915,-0.02287514290328879,-0.023711097378771955,-0.025,-0.015504801334285976,-0.015335962670821346,-0.024174418192380885,-0.9750000000000001,-0.025,-0.025,-0.07500000000000001,-0.9750000000000001,-0.025,-0.025,-0.10553859254632521,-0.16968062900083497,-0.14977811550151976,-0.028848778735632213,-0.047279300718262224,0.11181328264738999,-0.13370346263993754,-0.17867783830236617,0.07565494097293221,-0.1799444023249937,-0.2122161438461727,-0.08802007564736691,-0.1227228316763799,-0.14905896892655368,-0.04767333333333332,-0.09244156862745098,-0.16796264367816094,-0.17039232336956522,-0.13234732648431305,-0.9750000000000001,-0.025
